bpost_1,bpost_2,bpost_3,bpost_4,bpost_5,bpost_6,arm_rot_1,arm_rot_2,arm_rot_3,arm_rot_4
0.30459393803361517,-0.3708970116375363,-0.21479663309685676,0.00028056879405587588,-0.63415417174890099,-0.44668986899691621,0.001415,-0.019214999999999999,0.001263,-0.99981399999999998
0.30445806240435436,-0.3709380659183773,-0.21474185696438805,0.00040950746347551917,-0.63415182731676811,-0.44677344662357577,0.0013439999999999999,-0.019280000000000002,0.0012460000000000001,-0.99981200000000003
0.3043292764331742,-0.3709773401145498,-0.21468497868770273,0.00053299755303912687,-0.63415205608839109,-0.44685483238531465,0.0015169999999999999,-0.019383000000000001,0.0012750000000000001,-0.99981000000000009
0.30419750027979026,-0.37101502619172994,-0.21462039751085493,0.00066002277114286334,-0.63415779233333036,-0.4469394673253379,0.0014140000000000001,-0.019356999999999999,0.001418,-0.99981100000000001
0.30405676637219997,-0.37106265547524098,-0.21455690540939445,0.00079209210612862931,-0.63415537577244208,-0.44703434323854857,0.0014789999999999998,-0.019112999999999998,0.001402,-0.99981500000000001
0.3039178001522887,-0.37111500202184983,-0.21449578425832677,0.00092112388721104338,-0.63414809924349225,-0.44713174303039321,0.001472,-0.019463999999999999,0.0014550000000000001,-0.99980800000000003
0.30377797684051583,-0.37117027754335474,-0.21443299075715955,0.0010501720294935838,-0.6341395570591799,-0.44723269965537288,0.001467,-0.019608,0.0014400000000000001,-0.99980599999999997
0.30364514456466207,-0.37121616368354132,-0.21436007452317971,0.0011760549868705017,-0.63414422454648867,-0.44732998762850762,0.0015770000000000001,-0.019625,0.0014519999999999999,-0.99980499999999994
0.30351776078354714,-0.37125599191762887,-0.21428034324290424,0.0012991362944746107,-0.63415763346108212,-0.44742520145071712,0.001433,-0.019202,0.0014960000000000002,-0.99981299999999995
0.3033841330553842,-0.37130716959910537,-0.21420372117658332,0.0014243234732874638,-0.6341605712251952,-0.44752949499669809,0.0015900000000000001,-0.019436000000000002,0.0014060000000000001,-0.99980900000000006
0.30326534718790449,-0.37134535750394621,-0.21412045552631609,0.0015402991593909865,-0.63417773039793979,-0.44762449988487463,0.001544,-0.019308000000000002,0.001395,-0.99981100000000001
0.3031443003637796,-0.37139207328797252,-0.21403965332799457,0.0016556760647531011,-0.63418700863838007,-0.44772574848268304,0.0014759999999999999,-0.019667,0.001472,-0.99980400000000014
0.30301224603112598,-0.37145368673685381,-0.21396152099947316,0.0017764480850621636,-0.63418292977703805,-0.44783947195986584,0.001413,-0.018869999999999998,0.0013960000000000001,-0.99982000000000004
0.30289442872950534,-0.37149961526105568,-0.21387276712393907,0.0018891201510745097,-0.63419783828884491,-0.44794496029699143,0.001493,-0.019355000000000001,0.0015590000000000001,-0.99981000000000009
0.30276070817269413,-0.37156717417622709,-0.2137883948034579,0.0020099152899430489,-0.63419272495710588,-0.44806756978836199,0.0014060000000000001,-0.018986000000000003,0.001536,-0.99981799999999998
0.30265076142460212,-0.37160938995538745,-0.21369436978450618,0.0021164834146357881,-0.63421416251797358,-0.44817268697141804,0.0013830000000000001,-0.019047000000000001,0.0015,-0.99981699999999996
0.30253762790099964,-0.37165505339482707,-0.2135971895400075,0.0022247606188162076,-0.63423488825531538,-0.44828325343045233,0.0014880000000000002,-0.019338000000000001,0.0015279999999999998,-0.99981100000000001
0.3024258144451818,-0.37170395159332731,-0.21349928010101998,0.0023308698047678472,-0.63425374789908584,-0.44839690496370921,0.001565,-0.019380999999999999,0.001689,-0.99981000000000009
0.30231765526823468,-0.37175146000357917,-0.21339881493108509,0.0024339950081029241,-0.6342754989828554,-0.44851082439549667,0.0015009999999999999,-0.019359000000000001,0.001493,-0.99981000000000009
0.30222136733322635,-0.37179072110491312,-0.2132961216448169,0.0025288243954491689,-0.63430555013375001,-0.44861843550002944,0.001513,-0.018961000000000002,0.0015869999999999999,-0.99981799999999998
0.30212298365911633,-0.37183593183124347,-0.21319234405900833,0.0026235835065656909,-0.63433177819683484,-0.44873194423450985,0.00156,-0.019247999999999998,0.0014349999999999999,-0.99981299999999995
0.30202971653003258,-0.37188124241582404,-0.21308948840468664,0.0027134311274529203,-0.63435773417981289,-0.44884451447354651,0.001475,-0.019259000000000002,0.0015989999999999999,-0.99981200000000003
0.30192938332800351,-0.37193541333571584,-0.2129834194930236,0.0028068133115816806,-0.63437869073545039,-0.4489671204975334,0.001477,-0.019265999999999998,0.0014660000000000001,-0.99981200000000003
0.30183642242644021,-0.37198503649882314,-0.2128758253839485,0.00289455851965149,-0.63440458130797073,-0.44908655079080279,0.0014039999999999999,-0.019359000000000001,0.0016260000000000001,-0.99981000000000009
0.30175253137573232,-0.37203740418672254,-0.212779333682103,0.0029730143837161786,-0.63442202854446583,-0.44919962191735702,0.0015429999999999999,-0.019028,0.0016600000000000002,-0.99981600000000004
0.3016661489220841,-0.37208505980143436,-0.21266608862110001,0.0030548831214663357,-0.63445359928917144,-0.44932099349074078,0.0016829999999999998,-0.019116000000000001,0.001637,-0.99981500000000001
0.30158126014832043,-0.37214090409404299,-0.21256069432168739,0.0031327352291194259,-0.63447422123661412,-0.44944314583300332,0.001639,-0.019021,0.001637,-0.99981600000000004
0.30151019399149898,-0.37218497295938657,-0.21245477501403309,0.0032014039627675864,-0.63450509830420598,-0.44955538116382415,0.0016719999999999999,-0.019309,0.0016100000000000001,-0.99981100000000001
0.30143240593532022,-0.37223731863127252,-0.21234250052803927,0.0032734845269437396,-0.63453346730330729,-0.44967907438252352,0.0016570000000000001,-0.019305000000000003,0.0016379999999999999,-0.99981100000000001
0.30136183252867266,-0.37229324303920108,-0.2122411390405794,0.0033379604725888665,-0.63455276326641497,-0.44979721288993718,0.001531,-0.019163999999999997,0.001531,-0.99981399999999998
0.30129198435139604,-0.37234254062481403,-0.21212424098725194,0.0034034626613495536,-0.63458722298396564,-0.44992120782024092,0.001575,-0.019459000000000001,0.001611,-0.99980800000000003
0.30123035674463222,-0.37238820622339758,-0.21201223512210737,0.0034625188329765744,-0.63462201935611384,-0.45003832784798392,0.001627,-0.019303999999999998,0.0016179999999999999,-0.99981100000000001
0.30116653780069325,-0.37244170644884456,-0.21189957383833236,0.0035209001741849742,-0.63465134986373595,-0.45016205360670464,0.0014880000000000002,-0.019077,0.0014939999999999999,-0.99981600000000004
